Business,Address,Annual Consumption,Unit,City,Province,Country,Year
313 & 315 WHITLOCK WY NE HOUSING,315 FALCONRIDGE CR NE,219,GJ,Calgary,Alberta,Canada,2019
31 & 35 DEERPOINT RD SE HOUSING,316 20 AV SW,245,GJ,Calgary,Alberta,Canada,2019
315-325 FALCONRIDGE CR NE HOUSING,321 WHITLOCK WY NE,485,GJ,Calgary,Alberta,Canada,2019
316 20 AV SW HOUSING,31 FAY RD SE,1855,GJ,Calgary,Alberta,Canada,2019
319 & 321 WHITLOCK WY NE HOUSING,3202 30A AV SE,206,GJ,Calgary,Alberta,Canada,2019
31 FAY RD SE HOUSING,3202 32A AV SE,140,GJ,Calgary,Alberta,Canada,2019
3202 30A AV SE HOUSING,3203 33A AV SE,74,GJ,Calgary,Alberta,Canada,2019
3202 32A AV SE HOUSING,3206 32A AV SE,131,GJ,Calgary,Alberta,Canada,2019
3203 33A AV SE HOUSING,3207 31A AV SE,100,GJ,Calgary,Alberta,Canada,2019
3206 32A AV SE HOUSING,3207 33A AV SE,96,GJ,Calgary,Alberta,Canada,2019
3207 31A AV SE HOUSING,3208 32A AV SE,201,GJ,Calgary,Alberta,Canada,2019
3207 33A AV SE HOUSING,3209 31A AV SE,97,GJ,Calgary,Alberta,Canada,2019
3208 32A AV SE HOUSING,3211 33A AV SE,252,GJ,Calgary,Alberta,Canada,2019
3209 & 3211 31A AV SE HOUSING,3212 32A AV SE,164,GJ,Calgary,Alberta,Canada,2019
3211 33A AV SE HOUSING,3213 33A AV SE,250,GJ,Calgary,Alberta,Canada,2019
3212 32A AV SE HOUSING,3213A 31A AV SE,224,GJ,Calgary,Alberta,Canada,2019
3213 33A AV SE HOUSING,3215 31A AV SE,183,GJ,Calgary,Alberta,Canada,2019
3213A & 3213B 31A AV SE HOUSING,3216 30A AV SE,163,GJ,Calgary,Alberta,Canada,2019
3215 & 3217 31A AV SE HOUSING,3216 32A AV SE,153,GJ,Calgary,Alberta,Canada,2019
3216 30A AV SE HOUSING,3217 33A AV SE,295,GJ,Calgary,Alberta,Canada,2019
3216 32A AV SE HOUSING,3219 31A AV SE,329,GJ,Calgary,Alberta,Canada,2019
3217 33A AV SE HOUSING,3222 30A AV SE,268,GJ,Calgary,Alberta,Canada,2019
3219 31A AV SE HOUSING,3229 56 ST NE,305,GJ,Calgary,Alberta,Canada,2019
3222 30A AV SE HOUSING,325 10 ST NW,133,GJ,Calgary,Alberta,Canada,2019
3229 56 ST NE HOUSING,327 FALCONRIDGE CR NE,1468,GJ,Calgary,Alberta,Canada,2019
325 10 ST NW HOUSING,327 FALSHIRE DR NE,5580,GJ,Calgary,Alberta,Canada,2019
327-339 FALCONRIDGE CR NE HOUSING,32 RADCLIFFE CO SE,640,GJ,Calgary,Alberta,Canada,2019
327 FALSHIRE DR NE HOUSING,330 2 AV NE,162,GJ,Calgary,Alberta,Canada,2019
32 RADCLIFFE CO SE HOUSING,333 17 AV NW,247,GJ,Calgary,Alberta,Canada,2019
330 2 AV NE HOUSING,339 FALSHIRE WY NE,2288,GJ,Calgary,Alberta,Canada,2019
333 17 AV NW HOUSING,3401 CENTRE ST NW,1936,GJ,Calgary,Alberta,Canada,2019
339 FALSHIRE WY NE HOUSING,343 WHITLOCK WY NE,113,GJ,Calgary,Alberta,Canada,2019
3401 CENTRE ST NW HOUSING,36 FALMEAD BA NE,618,GJ,Calgary,Alberta,Canada,2019
341 & 343 WHITLOCK WY NE HOUSING,3454 30A AV SE,208,GJ,Calgary,Alberta,Canada,2019
34 & 36 FALMEAD BA NE HOUSING,3456 30A AV SE,200,GJ,Calgary,Alberta,Canada,2019
3454 30A AV SE HOUSING,3456 32A AV SE,170,GJ,Calgary,Alberta,Canada,2019
3456 30A AV SE HOUSING,3461 31A AV SE,243,GJ,Calgary,Alberta,Canada,2019
3456 32A AV SE HOUSING,3461 33A AV SE,196,GJ,Calgary,Alberta,Canada,2019
3461 31A AV SE HOUSING,3462 30A AV SE,310,GJ,Calgary,Alberta,Canada,2019
3461 33A AV SE HOUSING,3462 32A AV SE,214,GJ,Calgary,Alberta,Canada,2019
3462 30A AV SE HOUSING,3463 33A AV SE,235,GJ,Calgary,Alberta,Canada,2019
3462 32A AV SE HOUSING,3466 30 AV SE,285,GJ,Calgary,Alberta,Canada,2019
3463 33A AV SE HOUSING,3464 32A AV SE,236,GJ,Calgary,Alberta,Canada,2019
3466 30A AV SE HOUSING,3467 31A AV SE,290,GJ,Calgary,Alberta,Canada,2019
3466 32A AV SE HOUSING,3469 33A AV SE,225,GJ,Calgary,Alberta,Canada,2019
3467 31A AV SE HOUSING,3470 30A AV SE,304,GJ,Calgary,Alberta,Canada,2019
3469 33A AV SE HOUSING,3473 33A AV SE,240,GJ,Calgary,Alberta,Canada,2019
3470 30A AV SE HOUSING,3474 30A AV SE,113,GJ,Calgary,Alberta,Canada,2019
3473 33A AV SE HOUSING,3477 33A AV SE,112,GJ,Calgary,Alberta,Canada,2019
3474 30A AV SE HOUSING,34 ERIN RIDGE PL SE,104,GJ,Calgary,Alberta,Canada,2019
3477 33A AV SE HOUSING,3534 CEDARILLE DR SW,133,GJ,Calgary,Alberta,Canada,2019
34 ERIN RIDGE PL SE HOUSING,3542 CEDARILLE DR SW,72,GJ,Calgary,Alberta,Canada,2019
3534 & 3536 CEDARILLE DR SW HOUSING,3546 CEDARILLE DR SW,326,GJ,Calgary,Alberta,Canada,2019
3542 & 3544 CEDARILLE DR SW HOUSING,359 WHITLOCK WY NE,206,GJ,Calgary,Alberta,Canada,2019
3546 & 3548 CEDARILLE DR SW HOUSING,3601 28 AV SE,250,GJ,Calgary,Alberta,Canada,2019
357 & 359 WHITLOCK WY NE HOUSING,3605 28 AV SE,231,GJ,Calgary,Alberta,Canada,2019
3601 & 3603 28 AV SE HOUSING,3609 28 AV SE,179,GJ,Calgary,Alberta,Canada,2019
3605 & 3607 28 AV SE HOUSING,3610 CEDARILLE DR SW,235,GJ,Calgary,Alberta,Canada,2019
3609 & 3611 28 AV SE HOUSING,3613 28 AV SE,182,GJ,Calgary,Alberta,Canada,2019
3610 & 3612 CEDARILLE DR SW HOUSING,3617 28 AV SE,218,GJ,Calgary,Alberta,Canada,2019
3613 & 3615 28 AV SE HOUSING,3621 28 AV SE,161,GJ,Calgary,Alberta,Canada,2019
3617 & 3619 28 AV SE HOUSING,3625 28 AV SE,191,GJ,Calgary,Alberta,Canada,2019
3621 & 3623 28 AV SE HOUSING,3629 28 AV SE,146,GJ,Calgary,Alberta,Canada,2019
3625 & 3627 28 AV SE HOUSING,3633 28 AV SE,186,GJ,Calgary,Alberta,Canada,2019
3629 & 3631 28 AV SE HOUSING,36 ABINGDON CO NE,188,GJ,Calgary,Alberta,Canada,2019
3633 & 3635 28 AV SE HOUSING,36 RADCLIFFE CO SE,166,GJ,Calgary,Alberta,Canada,2019
36 ABINGDON CO NE HOUSING,37 ERIN RIDGE RD SE,92,GJ,Calgary,Alberta,Canada,2019
36 RADCLIFFE CO SE HOUSING,3824 PARKHILL PL SW,518,GJ,Calgary,Alberta,Canada,2019
37 ERIN RIDGE RD SE HOUSING,40 FALMEAD BA NE,100,GJ,Calgary,Alberta,Canada,2019
3824 PARKHILL PL SW HOUSING,3902 44 AV NE,520,GJ,Calgary,Alberta,Canada,2019
38 & 40 FALMEAD BA NE HOUSING,43 DEERPOINT RD SE,182,GJ,Calgary,Alberta,Canada,2019
3902 & 3904 44 AV NE HOUSING,39 FALSHIRE WY NE,285,GJ,Calgary,Alberta,Canada,2019
39 & 43 DEERPOINT RD SE HOUSING,4006 WORCESTER DR SW,155,GJ,Calgary,Alberta,Canada,2019
39 FALSHIRE WY NE HOUSING,4012 WORCESTER DR SW,125,GJ,Calgary,Alberta,Canada,2019
4006 WORCESTER DR SW HOUSING,4018 WORCESTER DR SW,370,GJ,Calgary,Alberta,Canada,2019
4012 WORCESTER DR SW HOUSING,40 38A AV SW,402,GJ,Calgary,Alberta,Canada,2019
4018 WORCESTER DR SW HOUSING,#40-45 2730 19 AV SE,378,GJ,Calgary,Alberta,Canada,2019
40 38A AV SW HOUSING,411 14 ST NW,3101,GJ,Calgary,Alberta,Canada,2019
#40-45 2730 19 AV SE HOUSING,41 FALBURY CR NE,356,GJ,Calgary,Alberta,Canada,2019
411 14 ST NW HOUSING,419 ABADAN PL NE,7224,GJ,Calgary,Alberta,Canada,2019
41 & 43 FALBURY CR NE HOUSING,424 2 AV NE,195,GJ,Calgary,Alberta,Canada,2019
419 ABADAN PL NE HOUSING,4303 WHITEHORN DR NE,106,GJ,Calgary,Alberta,Canada,2019
424 2 AV NE HOUSING,4307 DOVERWOOD PL SE,1421,GJ,Calgary,Alberta,Canada,2019
4303 & 4307 WHITEHORN DR NE HOUSING,4308 DOVERWOOD PL SE,160,GJ,Calgary,Alberta,Canada,2019
4307 DOVERWOOD PL SE HOUSING,4312 DOVERWOOD PL SE,172,GJ,Calgary,Alberta,Canada,2019
4308 DOVERWOOD PL SE HOUSING,4311 WHITEHORN DR NE,195,GJ,Calgary,Alberta,Canada,2019
4310 DOVERWOOD PL SE HOUSING,4311 DOVERWOOD PL SE,152,GJ,Calgary,Alberta,Canada,2019
4311 & 4315 WHITEHORN DR NE HOUSING,4313 DOVERWOOD PL SE,178,GJ,Calgary,Alberta,Canada,2019
4311 DOVERWOOD PL SE HOUSING,4314 DOVERWOOD PL SE,161,GJ,Calgary,Alberta,Canada,2019
4313 DOVERWOOD PL SE HOUSING,4317 DOVERWOOD PL ASE,202,GJ,Calgary,Alberta,Canada,2019
4314 DOVERWOOD PL SE HOUSING,4318 DOVERWOOD PL SE,122,GJ,Calgary,Alberta,Canada,2019
4317 DOVERWOOD PL SE HOUSING,4323 WHITEHORN DR NE,153,GJ,Calgary,Alberta,Canada,2019
4318 DOVERWOOD PL SE HOUSING,4321 DOVERWOOD PL SE,215,GJ,Calgary,Alberta,Canada,2019
4319 & 4323 WHITEHORN DR NE HOUSING,4322 DOVERWOOD PL SE,203,GJ,Calgary,Alberta,Canada,2019
4321 DOVERWOOD PL SE HOUSING,4327 BOWNESS RD NW,169,GJ,Calgary,Alberta,Canada,2019
4322 DOVERWOOD PL SE HOUSING,4325 DOVERWOOD PL SE,163,GJ,Calgary,Alberta,Canada,2019
4325 & 4327 BOWNESS RD NW HOUSING,4326 DOVERWOOD PL SE,199,GJ,Calgary,Alberta,Canada,2019
4325 DOVERWOOD PL SE HOUSING,4331 WHITEHORN DR NE,197,GJ,Calgary,Alberta,Canada,2019
4326 DOVERWOOD PL SE HOUSING,4332 DOVERWOOD PL SE,203,GJ,Calgary,Alberta,Canada,2019
