Business,Address,Annual Consumption,Unit,City,Province,Country,Year
#100 6704 6 ST SW,#100 6704 6 ST SW,533,GJ,Calgary,Alberta,Canada,2019
#100 816 MCDOUGALL RD NE HOUSING,#100 816 MCDOUGALL RD NE,379,GJ,Calgary,Alberta,Canada,2019
100 CASTLEDALE WY NE HOUSING,100 CASTLEDALE WY NE,184,GJ,Calgary,Alberta,Canada,2019
100 FALCHURCH CR NE HOUSING,100 FALCHURCH CR NE,142,GJ,Calgary,Alberta,Canada,2019
10 & 12 FALMEAD PL NE HOUSING,12 FALMEAD PL NE,172,GJ,Calgary,Alberta,Canada,2019
#10-15 2730 19 AV SE HOUSING,#10-15 2730 19 AV SE,317,GJ,Calgary,Alberta,Canada,2019
1019 78 AV NW HOUSING,1019 78 AV NW,131,GJ,Calgary,Alberta,Canada,2019
1031A-1031D 8 ST SE HOUSING,1031 8 ST SE,266,GJ,Calgary,Alberta,Canada,2019
1033-1039 8 ST SE HOUSING,1033 8 ST SE,560,GJ,Calgary,Alberta,Canada,2019
1040 & 1042 MAGGIE ST SE HOUSING,1040 MAGGIE ST SE,129,GJ,Calgary,Alberta,Canada,2019
1041 & 1043 8 ST SE HOUSING,1041 8 ST SE,134,GJ,Calgary,Alberta,Canada,2019
1045 & 1047 8 ST SE HOUSING,1045 8 ST SE,157,GJ,Calgary,Alberta,Canada,2019
1049 & 1051 8 ST SE HOUSING,1051 8 ST SE,148,GJ,Calgary,Alberta,Canada,2019
104 ABINGDON CO NE HOUSING,104 ABINGDON CO NE,153,GJ,Calgary,Alberta,Canada,2019
106-110 TACHE AV NW HOUSING,110 TACHE AV NW,245,GJ,Calgary,Alberta,Canada,2019
108 ABALONE CR NE HOUSING,108 ABALONE CR NE,146,GJ,Calgary,Alberta,Canada,2019
110 & 112 ERIN WOODS BV SE HOUSING,110 ERIN WOODS BV SE,203,GJ,Calgary,Alberta,Canada,2019
1111 36 ST SE HOUSING,1111 36 ST SE,174,GJ,Calgary,Alberta,Canada,2019
111 ABALONE WY NE HOUSING,111 ABALONE WY NE,117,GJ,Calgary,Alberta,Canada,2019
1129 & 1131 22 AV NW HOUSING,1129 22 AV NW,180,GJ,Calgary,Alberta,Canada,2019
113 & 115 FALBURY CR NE HOUSING,113 FALBURY CR NE,189,GJ,Calgary,Alberta,Canada,2019
1133 & 1135 22 AV NW HOUSING,1131 22 AV NW,205,GJ,Calgary,Alberta,Canada,2019
1137 & 1139 22 AV NW HOUSING,1133 22 AV NW,162,GJ,Calgary,Alberta,Canada,2019
114 & 116 ERIN WOODS BV SE HOUSING,114 ERIN WOODS BV SE,267,GJ,Calgary,Alberta,Canada,2019
116 ABBERCOVE WY SE HOUSING,116 ABBERCOVE WY SE,97,GJ,Calgary,Alberta,Canada,2019
118-124 ERIN DALE CR SE HOUSING,120 ERIN DALE CR SE,331,GJ,Calgary,Alberta,Canada,2019
120 FALTON DR NE HOUSING,120 FALTON DR NE,113,GJ,Calgary,Alberta,Canada,2019
121 & 123 FALSBY RD NE HOUSING,121 FALSBY RD NE,195,GJ,Calgary,Alberta,Canada,2019
1215 17 AV NW HOUSING,1215 17 AV NW,888,GJ,Calgary,Alberta,Canada,2019
121 FALTON DR NE HOUSING,121 FALTON DR NE,95,GJ,Calgary,Alberta,Canada,2019
1239 17 AV NW HOUSING,1239 17 AV NW,959,GJ,Calgary,Alberta,Canada,2019
123 ABALONE WY NE HOUSING,123 ABALONE WY NE,129,GJ,Calgary,Alberta,Canada,2019
123 ERIN MOUNT CR SE HOUSING,123 ERIN MOUNT CR SE,107,GJ,Calgary,Alberta,Canada,2019
123 FALTON DR NE HOUSING,123 FALTON DR NE,75,GJ,Calgary,Alberta,Canada,2019
126-130 ERIN DALE CR SE HOUSING,126 ERIN DALE CR SE,271,GJ,Calgary,Alberta,Canada,2019
127 ERIN MOUNT CR SE HOUSING,127 ERIN MOUNT CR SE,126,GJ,Calgary,Alberta,Canada,2019
128 HAVENHURST CR SW HOUSING,128 HAVENHURST CR SW,123,GJ,Calgary,Alberta,Canada,2019
12 ABBERCOVE DR SE HOUSING,12 ABBERCOVE DR SE,117,GJ,Calgary,Alberta,Canada,2019
12 ERIN RIDGE PL SE HOUSING,12 ERIN RIDGE PL SE,116,GJ,Calgary,Alberta,Canada,2019
1327 36 ST SE HOUSING,1327 36 ST SE,222,GJ,Calgary,Alberta,Canada,2019
132 FALTON DR NE HOUSING,132 FALTON DR NE,121,GJ,Calgary,Alberta,Canada,2019
1352 FALCONRIDGE DR NE HOUSING,1352 FALCONRIDGE DR NE,109,GJ,Calgary,Alberta,Canada,2019
#1-3 60 CEDARWOOD HL SW HOUSING,60 CEDARWOOD HL SW,228,GJ,Calgary,Alberta,Canada,2019
139 ERIN MOUNT CR SE HOUSING,139 ERIN MOUNT CR SE,135,GJ,Calgary,Alberta,Canada,2019
13 ERIN WOODS PL SE HOUSING,13 ERIN WOODS PL SE,148,GJ,Calgary,Alberta,Canada,2019
1404 & 1406 15 ST SE HOUSING,1406 15 ST SE,204,GJ,Calgary,Alberta,Canada,2019
1407 & 1409 16 ST SE HOUSING,1409 16 ST SE,160,GJ,Calgary,Alberta,Canada,2019
1408 & 1410 16 ST SE HOUSING,1410 16 ST SE,224,GJ,Calgary,Alberta,Canada,2019
140 ERIN GROVE CL SE HOUSING,140 ERIN GROVE CL SE,150,GJ,Calgary,Alberta,Canada,2019
140 FALTON CL NE HOUSING,140 FALTON CL NE,101,GJ,Calgary,Alberta,Canada,2019
1413 & 1415 16A ST SE HOUSING,1415 16A ST SE,148,GJ,Calgary,Alberta,Canada,2019
#14-18 7000 RANCHERO RD NW HOUSING,7000 RANCHERO RD NW,473,GJ,Calgary,Alberta,Canada,2019
1420 & 1420 16A ST SE HOUSING,1420 16A ST SE,184,GJ,Calgary,Alberta,Canada,2019
144 FALTON CL NE HOUSING,144 FALTON CL NE,102,GJ,Calgary,Alberta,Canada,2019
1451 21 AV SW HOUSING,1451 21 AV SW,4626,GJ,Calgary,Alberta,Canada,2019
15 & 19 DEERPOINT RD SE HOUSING,19 DEERPOINT RD SE,214,GJ,Calgary,Alberta,Canada,2019
152 ABINGDON CO NE HOUSING,152 ABINGDON CO NE,123,GJ,Calgary,Alberta,Canada,2019
155 & 157 FALTON DR NE HOUSING,155 FALTON DR NE,200,GJ,Calgary,Alberta,Canada,2019
159 & 161 FALTON DR NE HOUSING,159 FALTON DR NE,209,GJ,Calgary,Alberta,Canada,2019
15 RANCHERO GR NW HOUSING,15 RANCHERO GR NW,330,GJ,Calgary,Alberta,Canada,2019
160 FALTON DR NE HOUSING,160 FALTON DR NE,139,GJ,Calgary,Alberta,Canada,2019
#1-6 15 NORQUAY CO NW HOUSING,#1-6 15 NORQUAY CO NW,673,GJ,Calgary,Alberta,Canada,2019
1620 12 AV SW HOUSING,1620 12 AV SW,2351,GJ,Calgary,Alberta,Canada,2019
167 & 169 FALTON DR NE HOUSING,167 FALTON DR NE,205,GJ,Calgary,Alberta,Canada,2019
171 & 173 FALTON DR NE HOUSING,171 FALTON DR NE,247,GJ,Calgary,Alberta,Canada,2019
1712 35 ST SE HOUSING,1712 35 ST SE,1384,GJ,Calgary,Alberta,Canada,2019
171 ERIN MOUNT CR SE HOUSING,171 ERIN MOUNT CR SE,112,GJ,Calgary,Alberta,Canada,2019
1733 28 AV SW HOUSING,1733 28 AV SW,2014,GJ,Calgary,Alberta,Canada,2019
173 ERIN RIDGE RD SE HOUSING,173 ERIN RIDGE RD SE,148,GJ,Calgary,Alberta,Canada,2019
175 & 177 FALTON DR NE HOUSING,175 FALTON DR NE,192,GJ,Calgary,Alberta,Canada,2019
#1-7 7000 RANCHERO RD NW HOUSING,20 CASTLEGLEN RD NE,681,GJ,Calgary,Alberta,Canada,2019
18 & 20 CASTLEGLEN RD NE HOUSING,182 TEMPLEGREEN DR NE,224,GJ,Calgary,Alberta,Canada,2019
182 & 184 TEMPLEGREEN DR NE HOUSING,1827 16A ST SW,198,GJ,Calgary,Alberta,Canada,2019
1827 16A ST SW HOUSING,183 CEDARDALE RD SW,1937,GJ,Calgary,Alberta,Canada,2019
183 & 185 CEDARDALE RD SW HOUSING,11 1840 RANCHLANDS WY NW,217,GJ,Calgary,Alberta,Canada,2019
1840 RANCHLANDS WY NW HOUSING,187 FALSHIRE DR NE,1245,GJ,Calgary,Alberta,Canada,2019
187 FALSHIRE DR NE HOUSING,187 FALTON WY NE,109,GJ,Calgary,Alberta,Canada,2019
187 FALTON WY NE HOUSING,189 FALSHIRE DR NE,97,GJ,Calgary,Alberta,Canada,2019
189 FALSHIRE DR NE HOUSING,18 RADCLIFFE CR SE,123,GJ,Calgary,Alberta,Canada,2019
18 RADCLIFFE CR SE HOUSING,1918 8 AV SE,538,GJ,Calgary,Alberta,Canada,2019
1918 8 AV SE HOUSING,1920 29 ST SW,360,GJ,Calgary,Alberta,Canada,2019
1920 29 ST SW HOUSING,196 DOVERGLEN CR SE,1322,GJ,Calgary,Alberta,Canada,2019
#19-25 7000 RANCHERO RD NW HOUSING,200 DOVERGLEN CR SE,717,GJ,Calgary,Alberta,Canada,2019
194 & 196 DOVERGLEN CR SE HOUSING,19 ERIN GROVE CL SE,190,GJ,Calgary,Alberta,Canada,2019
198 & 200 DOVERGLEN CR SE HOUSING,19 RADCLIFFE CL SE,150,GJ,Calgary,Alberta,Canada,2019
19 ERIN GROVE CL SE HOUSING,19 RANCHERO GR NW,155,GJ,Calgary,Alberta,Canada,2019
19 RADCLIFFE CL SE HOUSING,#200 6704 6 ST SW,427,GJ,Calgary,Alberta,Canada,2019
19 RANCHERO GR NW HOUSING,#200 816 MCDOUGALL RD NE,449,GJ,Calgary,Alberta,Canada,2019
#200 6704 6 ST SW,2011 36 ST SE,128,GJ,Calgary,Alberta,Canada,2019
#200 816 MCDOUGALL RD NE HOUSING,204 DOVERGLEN CR SE,379,GJ,Calgary,Alberta,Canada,2019
2011 36 ST SE HOUSING,208 RADLEY PL SE,302,GJ,Calgary,Alberta,Canada,2019
202 & 204 DOVERGLEN CR SE HOUSING,#20-25 2730 19 AV SE,263,GJ,Calgary,Alberta,Canada,2019
202-208 RADLEY PL SE HOUSING,208 DOVERGLEN CR SE,361,GJ,Calgary,Alberta,Canada,2019
#20-25 2730 19 AV SE HOUSING,207 CEDARDALE RD SW,334,GJ,Calgary,Alberta,Canada,2019
206 & 208 DOVERGLEN CR SE HOUSING,207 ERIN MOUNT CR SE,166,GJ,Calgary,Alberta,Canada,2019
207 & 209 CEDARDALE RD SW HOUSING,207 FALDALE CL NE,226,GJ,Calgary,Alberta,Canada,2019
207 ERIN MOUNT CR SE HOUSING,208 ERIN CROFT CR SE,148,GJ,Calgary,Alberta,Canada,2019
207 FALDALE CL NE HOUSING,20 ERIN CROFT GR SE,137,GJ,Calgary,Alberta,Canada,2019
208 ERIN CROFT CR SE HOUSING,20 FALTON ME NE,92,GJ,Calgary,Alberta,Canada,2019
20 ERIN CROFT GR SE HOUSING,20 LINCOLN WY SW,117,GJ,Calgary,Alberta,Canada,2019
20 FALTON ME NE HOUSING,20 PENWORTH CL SE,105,GJ,Calgary,Alberta,Canada,2019
20 LINCOLN WY SW HOUSING,212 DOVERGLEN CR SE,2405,GJ,Calgary,Alberta,Canada,2019
20 PENWORTH CL SE HOUSING,21 FALBURY CR NE,127,GJ,Calgary,Alberta,Canada,2019
210 & 212 DOVERGLEN CR SE HOUSING,2222 VERMILLION ST NE,165,GJ,Calgary,Alberta,Canada,2019
21 & 23 FALBURY CR NE HOUSING,24 CASTLEGLEN RD NE,222,GJ,Calgary,Alberta,Canada,2019
2222 VERMILLION ST NE HOUSING,22 CASTLEPARK WY NE,2787,GJ,Calgary,Alberta,Canada,2019
22 & 24 CASTLEGLEN RD NE HOUSING,2226 30 ST SW,153,GJ,Calgary,Alberta,Canada,2019
22 & 24 CASTLEPARK WY NE HOUSING,2234 30 ST SW,221,GJ,Calgary,Alberta,Canada,2019
2226-2230 30 ST SW HOUSING,2240 30 ST SW,206,GJ,Calgary,Alberta,Canada,2019
2234-2238 30 ST SW HOUSING,225 14 AV SW,245,GJ,Calgary,Alberta,Canada,2019
2240 & 2242 30 ST SW HOUSING,230 5 AV SE,180,GJ,Calgary,Alberta,Canada,2019
225 14 AV SW HOUSING,27 DEERPOINT RD SE,781,GJ,Calgary,Alberta,Canada,2019
230 5 AV SE HOUSING & 433 MACLEOD TR SE HOUSING,236 RADLEY PL SE,17951,GJ,Calgary,Alberta,Canada,2019
23 & 27 DEERPOINT RD SE HOUSING,23 FALCHURCH PL NE,193,GJ,Calgary,Alberta,Canada,2019
236 RADLEY PL SE HOUSING,2431 39 ST SE,510,GJ,Calgary,Alberta,Canada,2019
23 FALCHURCH PL NE HOUSING,2443 48 ST SE,130,GJ,Calgary,Alberta,Canada,2019
2431 39 ST SE HOUSING,2444 47 ST SE,185,GJ,Calgary,Alberta,Canada,2019
2441-2445 48 ST SE HOUSING,247 PENSVILLE CL SE,372,GJ,Calgary,Alberta,Canada,2019
2442 & 2444 47 ST SE HOUSING,249 ABALONE PL NE,204,GJ,Calgary,Alberta,Canada,2019
247 PENSVILLE CL SE HOUSING,2513 14 AV SE,87,GJ,Calgary,Alberta,Canada,2019
249 & 251 ABALONE PL NE HOUSING,2712 41 ST SE,181,GJ,Calgary,Alberta,Canada,2019
2513 14 AV SE HOUSING,2804 13 AV SE,342,GJ,Calgary,Alberta,Canada,2019
2712 41 ST SE HOUSING,4303 DOVERWOOD PL SE,170,GJ,Calgary,Alberta,Canada,2019
2804 13 AV SE HOUSING,281 PENSVILLE CL SE,588,GJ,Calgary,Alberta,Canada,2019
2804 41 ST SE HOUSING,28 ABINGDON CO NE,160,GJ,Calgary,Alberta,Canada,2019
281 PENSVILLE CL SE HOUSING,28 FALTON RI NE,144,GJ,Calgary,Alberta,Canada,2019
28 ABINGDON CO NE HOUSING,28 FONDA DR SE,102,GJ,Calgary,Alberta,Canada,2019
28 FALTON RI NE HOUSING,28 RADCLIFFE CO SE,146,GJ,Calgary,Alberta,Canada,2019
28 FONDA DR SE HOUSING,29 TEMPLETON BA NE,661,GJ,Calgary,Alberta,Canada,2019
28 RADCLIFFE CO SE HOUSING,29 ERIN RIDGE RD SE,375,GJ,Calgary,Alberta,Canada,2019
29 & 31 TEMPLETON BA NE HOUSING,3004 29A ST SE,266,GJ,Calgary,Alberta,Canada,2019
29 ERIN RIDGE RD SE HOUSING,3005 30A ST SE,126,GJ,Calgary,Alberta,Canada,2019
3004 29A ST SE HOUSING,3007 28A ST SE,178,GJ,Calgary,Alberta,Canada,2019
3005 30A ST SE HOUSING,3008 29A ST SE,97,GJ,Calgary,Alberta,Canada,2019
3007 28A ST SE HOUSING,3011 32A ST SE,167,GJ,Calgary,Alberta,Canada,2019
3008 29A ST SE HOUSING,3009 30A ST SE,140,GJ,Calgary,Alberta,Canada,2019
3009 & 3011 32A ST SE HOUSING,3012 33A ST SE,231,GJ,Calgary,Alberta,Canada,2019
3009 30A ST SE HOUSING,3011 28A ST SE,127,GJ,Calgary,Alberta,Canada,2019
3010 & 3012 33A ST SE HOUSING,3011 30A ST SE,222,GJ,Calgary,Alberta,Canada,2019
3011 28A ST SE HOUSING,3012 29A ST SE,135,GJ,Calgary,Alberta,Canada,2019
3011 30A ST SE HOUSING,303 FALCONRIDGE CR NE,246,GJ,Calgary,Alberta,Canada,2019
3012 29A ST SE HOUSING,3013 28A ST SE,304,GJ,Calgary,Alberta,Canada,2019
301-313 FALCONRIDGE CR NE HOUSING,3015 32A ST SE,579,GJ,Calgary,Alberta,Canada,2019
3013 28A ST SE HOUSING,3014 29A ST SE,309,GJ,Calgary,Alberta,Canada,2019
3013 & 3015 32A ST SE HOUSING,3016 33A ST SE,253,GJ,Calgary,Alberta,Canada,2019
3014 29A ST SE HOUSING,3016 23 AV SW,235,GJ,Calgary,Alberta,Canada,2019
3014 & 3016 33A ST SE HOUSING,3019 32A ST SE,247,GJ,Calgary,Alberta,Canada,2019
3016-3028 23 AV SW HOUSING,3017 30A ST SE,395,GJ,Calgary,Alberta,Canada,2019
3017 & 3019 32A ST SE HOUSING,3020 33A ST SE,344,GJ,Calgary,Alberta,Canada,2019
3017 30A ST SE HOUSING,3019 28A ST SE,243,GJ,Calgary,Alberta,Canada,2019
3018 & 3020 33A ST SE HOUSING,3020 29A ST SE,233,GJ,Calgary,Alberta,Canada,2019
3019 28A ST SE HOUSING,3021 30A ST SE,304,GJ,Calgary,Alberta,Canada,2019
3020 29A ST SE HOUSING,30 TEMPLEBY WY NE,245,GJ,Calgary,Alberta,Canada,2019
3021 30A ST SE HOUSING,#30-35 2730 19 AV SE,302,GJ,Calgary,Alberta,Canada,2019
30 & 32 TEMPLEBY WY NE HOUSING,303 57 AV SW,217,GJ,Calgary,Alberta,Canada,2019
#30-35 2730 19 AV SE HOUSING,308 15 AV NE,301,GJ,Calgary,Alberta,Canada,2019
303 57 AV SW HOUSING,315 WHITLOCK WY NE,9129,GJ,Calgary,Alberta,Canada,2019
308 15 AV NE HOUSING,31 DEERPOINT RD SE,951,GJ,Calgary,Alberta,Canada,2019
