CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,Shape_area,Shape_Length,Shape,longitude,latitude
Residential,1,HAM,HAMPTONS,NORTHWEST,ESTABLISHED,2000s,8886380.7031250,13189.92293,Polygon,-114.1467372,51.1451063864750
Residential,1,HAR,HARVEST HILLS,NORTH,ESTABLISHED,1980s/1990s,5530251.3828130,10130.19155,Polygon,-114.0527789,51.1476757387928
Residential,1,HAW,HAWKWOOD,NORTHWEST,ESTABLISHED,1980s/1990s,8135555.5859380,11756.86964,Polygon,-114.1756306,51.1309763556248
Residential,1,HAY,HAYSBORO,SOUTH,ESTABLISHED,1950s,6720044.8359380,10384.2794,Polygon,-114.0833403,50.9722173733874
Residential,1,HID,HIDDEN VALLEY,NORTH,ESTABLISHED,1980s/1990s,10928450.0546880,16397.85052,Polygon,-114.1195988,51.1519170345778
Industrial,2,HIF,HIGHFIELD,CENTRE,N/A,EMPLOYMENT,6931089.0234380,12287.79975,Polygon,-114.0372006,51.0185318814345
Residential,1,HIL,HILLHURST,CENTRE,ESTABLISHED,INNER CITY,5230189.4296880,10729.47072,Polygon,-114.0936606,51.0572779412254
Residential,1,HIW,HIGHWOOD,CENTRE,ESTABLISHED,1950s,2402127.3828130,6476.841482,Polygon,-114.0798955,51.0923580977543
Residential,1,HKS,HOTCHKISS,SOUTHEAST,DEVELOPING,BUILDING OUT,7873589.7890630,11724.47872,Polygon,-113.8962547,50.9141956662619
Industrial,2,HOR,HORIZON,NORTHEAST,N/A,EMPLOYMENT,5860236.4062500,10405.47361,Polygon,-113.991701,51.0887566341711
Residential,1,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,CENTRE,ESTABLISHED,1950s,2979050.4687500,7478.10882,Polygon,-114.1057309,51.0631853826218
Residential,1,HPK,HIGHLAND PARK,CENTRE,ESTABLISHED,1950s,3468111.9609380,10570.44311,Polygon,-114.0620547,51.0880191759583
Residential,1,HSD,HOMESTEAD,NORTHEAST,DEVELOPING,BUILDING OUT,4086098.8437500,9820.337128,Polygon,-113.9164985,51.1216297968616
Residential,1,HSN,HASKAYNE,NORTHWEST,DEVELOPING,BUILDING OUT,14766884.8750000,25574.08857,Polygon,-114.2866317,51.1169434798510
Residential,1,HUN,HUNTINGTON HILLS,NORTH,ESTABLISHED,1960s/1970s,12089277.7109380,16146.37893,Polygon,-114.0667011,51.1175839084205
Residential,1,ING,INGLEWOOD,CENTRE,ESTABLISHED,INNER CITY,6315126.0781250,15397.68653,Polygon,-114.0228503,51.0372827436098
Residential,1,KCA,KINCORA,NORTH,DEVELOPING,2000s,5766952.2968750,11182.12891,Polygon,-114.1339708,51.1602850388133
Residential,1,KEL,KELVIN GROVE,SOUTH,ESTABLISHED,1960s/1970s,1907499.2343750,5498.646713,Polygon,-114.0891401,50.9899285846886
Residential,1,KIL,KILLARNEY/GLENGARRY,CENTRE,ESTABLISHED,1950s,4655552.8281250,8854.343178,Polygon,-114.1317273,51.0315484290386
Residential,1,KIN,KINGSLAND,SOUTH,ESTABLISHED,1950s,3346656.6953130,7761.944692,Polygon,-114.0773466,50.9869767583074
Residential,1,KSH,KEYSTONE HILLS,NORTH,DEVELOPING,BUILDING OUT,3049373.0312500,7280.952753,Polygon,-114.026378,51.1795592507165
Residential,1,LEB,LEWISBURG,NORTH,DEVELOPING,BUILDING OUT,6593970.0781250,11815.19466,Polygon,-114.0384638,51.1867583844455
Residential,1,LEG,LEGACY,SOUTH,DEVELOPING,BUILDING OUT,15243196.9687500,18407.26964,Polygon,-114.0059808,50.8576030503488
Residential,1,LIV,LIVINGSTON,NORTH,DEVELOPING,BUILDING OUT,14398753.1640630,16019.74955,Polygon,-114.0655017,51.1855651086554
Residential,1,LKB,LAKE BONAVISTA,SOUTH,ESTABLISHED,1960s/1970s,13094515.3515630,14796.09706,Polygon,-114.0513371,50.9398073696603
Residential,1,LKV,LAKEVIEW,WEST,ESTABLISHED,1960s/1970s,5601941.6718750,10848.13653,Polygon,-114.129622,50.9995802877275
Residential,1,LMR,LOWER MOUNT ROYAL,CENTRE,ESTABLISHED,INNER CITY,713974.5937500,4535.686246,Polygon,-114.0864993,51.0365020771487
Residential,1,LPK,LINCOLN PARK,WEST,ESTABLISHED,1950s,3760056.5000000,8844.092684,Polygon,-114.1300078,51.0102775468835
Residential,1,MAC,MACEWAN GLEN,NORTH,ESTABLISHED,1980s/1990s,3597562.2187500,7985.528504,Polygon,-114.115227,51.1377195777680
Residential,1,MAF,MAYFAIR,CENTRE,ESTABLISHED,1950s,769119.7265630,3760.770379,Polygon,-114.0889557,50.9958134828815
Residential,1,MAH,MAHOGANY,SOUTHEAST,DEVELOPING,2000s,15889054.0703130,15966.06865,Polygon,-113.9246361,50.8959482936629
