COMM_CODE_09,CENSUS_YEAR_09,RESIDENT_CNT_09,COMM_CODE_19,CENSUS_YEAR_19,RESIDENT_CNT_19,PER_GRWTH,TOP_5_COMM_CODE,TOP_5_PERCENT_GROWTH,TOP_5_POP_09,TOP_5_POP_19,,,,,,,,,,,,,,,
UOC,2009,2137,UOC,2019,2367,10.76275152,,,,,,,,,,,,,,,,,,,
RAM,2009,1950,RAM,2019,2150,10.25641026,,,,,,,,,,,,,,,,,,,
HAY,2009,6435,HAY,2019,7080,10.02331002,,,,,,,,,,,,,,,,,,,
BNF,2009,3775,BNF,2019,4151,9.960264901,,,,,,,,,,,,,,,,,,,
DDG,2009,11749,DDG,2019,12871,9.549748915,,,,,,,,,,,,,,,,,,,
APP,2009,6379,APP,2019,6980,9.421539426,,,,,,,,,,,,,,,,,,,
TUS,2009,18270,TUS,2019,19884,8.834154351,,,,,,,,,,,,,,,,,,,
SSW,2009,368,SSW,2019,399,8.423913043,,,,,,,,,,,,,,,,,,,
CRE,2009,6105,CRE,2019,6619,8.419328419,,,,,,,,,,,,,,,,,,,
PKH,2009,1561,PKH,2019,1691,8.327994875,,,,,,,,,,,,,,,,,,,
HIL,2009,6070,HIL,2019,6546,7.84184514,,,,,,,,,,,,,,,,,,,
GBK,2009,6909,GBK,2019,7438,7.656679693,,,,,,,,,,,,,,,,,,,
MIS,2009,4270,MIS,2019,4595,7.611241218,,,,,,,,,,,,,,,,,,,
KIN,2009,4357,KIN,2019,4687,7.57401882,,,,,,,,,,,,,,,,,,,
CLI,2009,1763,CLI,2019,1895,7.487237663,,,,,,,,,,,,,,,,,,,
HPK,2009,3573,HPK,2019,3835,7.33277358,,,,,,,,,,,,,,,,,,,
LMR,2009,3222,LMR,2019,3457,7.293606456,,,,,,,,,,,,,,,,,,,
VIS,2009,2218,VIS,2019,2370,6.853020739,,,,,,,,,,,,,,,,,,,
SCA,2009,874,SCA,2019,931,6.52173913,,,,,,,,,,,,,,,,,,,
VAR,2009,12157,VAR,2019,12873,5.889610924,,,,,,,,,,,,,,,,,,,
FHT,2009,6168,FHT,2019,6496,5.317769131,,,,,,,,,,,,,,,,,,,
FAL,2009,10130,FAL,2019,10649,5.123395854,,,,,,,,,,,,,,,,,,,
HIW,2009,2162,HIW,2019,2256,4.347826087,,,,,,,,,,,,,,,,,,,
PEN,2009,8199,PEN,2019,8554,4.329796317,,,,,,,,,,,,,,,,,,,
ERL,2009,1212,ERL,2019,1263,4.207920792,,,,,,,,,,,,,,,,,,,
WLD,2009,2605,WLD,2019,2706,3.877159309,,,,,,,,,,,,,,,,,,,
RUN,2009,11252,RUN,2019,11683,3.830430146,,,,,,,,,,,,,,,,,,,
EYA,2009,1698,EYA,2019,1754,3.297997644,,,,,,,,,,,,,,,,,,,
PAT,2009,4094,PAT,2019,4202,2.638006839,,,,,,,,,,,,,,,,,,,
COU,2009,3680,COU,2019,3767,2.364130435,,,,,,,,,,,,,,,,,,,
MLR,2009,6745,MLR,2019,6900,2.297998517,,,,,,,,,,,,,,,,,,,
MID,2009,7109,MID,2019,7266,2.208468139,,,,,,,,,,,,,,,,,,,
PIN,2009,9808,PIN,2019,10022,2.181892333,,,,,,,,,,,,,,,,,,,
SOW,2009,6123,SOW,2019,6246,2.008819206,,,,,,,,,,,,,,,,,,,
BNK,2009,5156,BNK,2019,5256,1.939487975,,,,,,,,,,,,,,,,,,,
BOW,2009,10943,BOW,2019,11149,1.882481952,,,,,,,,,,,,,,,,,,,
RMT,2009,1232,RMT,2019,1254,1.785714286,,,,,,,,,,,,,,,,,,,
WHI,2009,11806,WHI,2019,12016,1.778756564,,,,,,,,,,,,,,,,,,,
FLN,2009,7676,FLN,2019,7812,1.771756123,,,,,,,,,,,,,,,,,,,
GLA,2009,6417,GLA,2019,6521,1.620695029,,,,,,,,,,,,,,,,,,,
CHW,2009,3514,CHW,2019,3569,1.5651679,,,,,,,,,,,,,,,,,,,
NHV,2009,2323,NHV,2019,2358,1.506672406,,,,,,,,,,,,,,,,,,,
POI,2009,1324,POI,2019,1343,1.435045317,,,,,,,,,,,,,,,,,,,
SHG,2009,1603,SHG,2019,1626,1.434809732,,,,,,,,,,,,,,,,,,,
PUM,2009,1618,PUM,2019,1640,1.359703337,,,,,,,,,,,,,,,,,,,
FAI,2009,3598,FAI,2019,3646,1.334074486,,,,,,,,,,,,,,,,,,,
WGT,2009,3160,WGT,2019,3202,1.329113924,,,,,,,,,,,,,,,,,,,
KEL,2009,2277,KEL,2019,2305,1.229688186,,,,,,,,,,,,,,,,,,,
ERI,2009,6972,ERI,2019,7049,1.104417671,,,,,,,,,,,,,,,,,,,
SOM,2009,8486,SOM,2019,8543,0.671694556,,,,,,,,,,,,,,,,,,,
WIL,2009,5296,WIL,2019,5328,0.604229607,,,,,,,,,,,,,,,,,,,
MAL,2009,5929,MAL,2019,5961,0.53972002,,,,,,,,,,,,,,,,,,,
DOV,2009,10298,DOV,2019,10351,0.514663041,,,,,,,,,,,,,,,,,,,
CAS,2009,6096,CAS,2019,6127,0.508530184,,,,,,,,,,,,,,,,,,,
COA,2009,3226,COA,2019,3242,0.495970242,,,,,,,,,,,,,,,,,,,
DRG,2009,3954,DRG,2019,3973,0.48052605,,,,,,,,,,,,,,,,,,,
MAF,2009,430,MAF,2019,432,0.465116279,,,,,,,,,,,,,,,,,,,
LPK,2009,2612,LPK,2019,2617,0.191424196,,,,,,,,,,,,,,,,,,,
WIN,2009,3628,WIN,2019,3632,0.110253583,,,,,,,,,,,,,,,,,,,
THO,2009,8792,THO,2019,8785,-0.079617834,,,,,,,,,,,,,,,,,,,
DIS,2009,4286,DIS,2019,4280,-0.139990667,,,,,,,,,,,,,,,,,,,
TEM,2009,10996,TEM,2019,10976,-0.181884322,,,,,,,,,,,,,,,,,,,
HAR,2009,7434,HAR,2019,7420,-0.188323917,,,,,,,,,,,,,,,,,,,
MPK,2009,8554,MPK,2019,8523,-0.362403554,,,,,,,,,,,,,,,,,,,
ACA,2009,10573,ACA,2019,10518,-0.520192944,,,,,,,,,,,,,,,,,,,
RAN,2009,7654,RAN,2019,7607,-0.614058009,,,,,,,,,,,,,,,,,,,
SHN,2009,9443,SHN,2019,9368,-0.794239119,,,,,,,,,,,,,,,,,,,
NGM,2009,2410,NGM,2019,2388,-0.912863071,,,,,,,,,,,,,,,,,,,
ARB,2009,10727,ARB,2019,10619,-1.006805258,,,,,,,,,,,,,,,,,,,
GDL,2009,2794,GDL,2019,2765,-1.03793844,,,,,,,,,,,,,,,,,,,
ABB,2009,6032,ABB,2019,5957,-1.2433687,,,,,,,,,,,,,,,,,,,
HUN,2009,13594,HUN,2019,13420,-1.27997646,,,,,,,,,,,,,,,,,,,
CIT,2009,10212,CIT,2019,10077,-1.321974148,,,,,,,,,,,,,,,,,,,
ROX,2009,428,ROX,2019,422,-1.401869159,,,,,,,,,,,,,,,,,,,
MOR,2009,10531,MOR,2019,10368,-1.547811224,,,,,,,,,,,,,,,,,,,
COL,2009,2281,COL,2019,2245,-1.578255151,,,,,,,,,,,,,,,,,,,
RUT,2009,2301,RUT,2019,2263,-1.651455889,,,,,,,,,,,,,,,,,,,
UNI,2009,2969,UNI,2019,2919,-1.68406871,,,,,,,,,,,,,,,,,,,
HID,2009,11772,HID,2019,11566,-1.749915053,,,,,,,,,,,,,,,,,,,
DAL,2009,9104,DAL,2019,8939,-1.812390158,,,,,,,,,,,,,,,,,,,
LKV,2009,5467,LKV,2019,5355,-2.04865557,,,,,,,,,,,,,,,,,,,
CAM,2009,2078,CAM,2019,2035,-2.069297401,,,,,,,,,,,,,,,,,,,
EPK,2009,3417,EPK,2019,3339,-2.282704126,,,,,,,,,,,,,,,,,,,
OAK,2009,5823,OAK,2019,5686,-2.352739138,,,,,,,,,,,,,,,,,,,
FLI,2009,126,FLI,2019,123,-2.380952381,,,,,,,,,,,,,,,,,,,
SHI,2009,262,SHI,2019,255,-2.671755725,,,,,,,,,,,,,,,,,,,
CHR,2009,2187,CHR,2019,2128,-2.697759488,,,,,,,,,,,,,,,,,,,
